station_complex,station_complex_index
"Queens Plaza (E,M,R)",374
"Queensboro Plaza (7,N,W)",375
RI Tramway (Manhattan),376
RI Tramway (Roosevelt),377
Ralph Av (C),378
Rector St (1),379
"Rector St (R,W)",380
Rockaway Av (3),381
Rockaway Av (C),382
Rockaway Blvd (A),383
"Rockaway Park-Beach 116 St (A,S)",384
Roosevelt Island (F),385
Saratoga Av (3),386
Seneca Av (M),387
"Sheepshead Bay (B,Q)",388
Shepherd Av (C),389
"Simpson St (2,5)",390
"Smith-9 Sts (F,G)",391
"South Ferry (1)/Whitehall St (R,W)",392
Spring St (6),393
"Spring St (C,E)",394
St George (SIR),395
St Lawrence Av (6),396
"Steinway St (M,R)",397
"Sterling St (2,5)",398
Sutphin Blvd (F),399
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",400
Sutter Av (L),401
Sutter Av-Rutland Rd (3),402
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",403
Tompkinsville (SIR),404
"Tremont Av (B,D)",405
Union St (R),406
"Utica Av (A,C)",407
Van Cortlandt Park-242 St (1),408
Van Siclen Av (3),409
Van Siclen Av (C),410
"Van Siclen Av (J,Z)",411
Vernon Blvd-Jackson Av (7),412
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",413
"W 8 St-NY Aquarium (F,Q)",414
WTC Cortlandt (1),415
Wakefield-241 St (2),416
"Wall St (2,3)",417
"Wall St (4,5)",418
"West Farms Sq-E Tremont Av (2,5)",419
Westchester Sq-E Tremont Av (6),420
Whitlock Av (6),421
Wilson Av (L),422
"Winthrop St (2,5)",423
"Woodhaven Blvd (J,Z)",424
"Woodhaven Blvd (M,R)",425
Woodlawn (4),426
York St (F),427
Zerega Av (6),428
